STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
Delhi UT,CAW,2013,0,0,0,1,0,202,0
Delhi UT,CENTRAL,2013,71,113,2,174,28,50,0
Delhi UT,CRIME BRANCH,2013,4,0,0,0,0,0,0
Delhi UT,EAST,2013,210,428,11,364,133,246,0
Delhi UT,EOW,2013,0,0,0,0,0,0,0
Delhi UT,GRP(RLY),2013,4,5,0,11,1,0,0
Delhi UT,IGI AIRPORT,2013,0,1,0,9,5,0,0
Delhi UT,METRO RAIL,2013,0,4,1,16,12,2,0
Delhi UT,NEW DELHI,2013,19,35,1,66,25,17,0
Delhi UT,NORTH,2013,53,151,9,164,25,107,0
Delhi UT,NORTH-EAST,2013,183,513,27,333,30,438,0
Delhi UT,NORTH-WEST,2013,143,343,17,301,45,236,0
Delhi UT,OUTER,2013,178,530,14,332,155,466,0
Delhi UT,SOUTH,2013,163,328,10,539,140,117,0
Delhi UT,SOUTH-EAST,2013,230,404,16,386,95,220,0
Delhi UT,SOUTH-WEST,2013,194,330,14,419,128,403,0
Delhi UT,STF,2013,0,0,0,0,0,0,0
Delhi UT,WEST,2013,184,424,22,400,94,529,0
Delhi UT,ZZ TOTAL,2013,1636,3609,144,3515,916,3033,0
